1,Katipunan Craft Beer,Metro Manila,08:00:00,17:00:00,639997785469,10,./img/default_distributor.jpg
2,Craftpoint Brewing,Davao City,08:00:00,17:00:00,639997785470,9,./img/default_distributor.jpg
3,Fat Pauly's,Iligan City,08:00:00,17:00:00,639997785471,8,./img/default_distributor.jpg
4,Turning Wheels Craft Brewery,Cebu City,08:00:00,17:00:00,639997785472,7,./img/default_distributor.jpg
5,Baguio Craft Brewery,Baguio City,08:00:00,17:00:00,639997785473,6,./img/default_distributor.jpg
6,The Cebruery,Cebu City,08:00:00,17:00:00,639997785474,5,./img/default_distributor.jpg
7,Joe’s Brew ,Davao City,08:00:00,17:00:00,639997785475,4,./img/default_distributor.jpg
8,Nipa Brew ,Metro Manila,08:00:00,17:00:00,639997785476,3,./img/default_distributor.jpg
9,Pedro Brewcrafters ,Metro Manila,08:00:00,17:00:00,639997785477,2,./img/default_distributor.jpg
10,The Brewery ,Metro Manila,08:00:00,17:00:00,639997785478,1,./img/default_distributor.jpg
